entity_id,entity_name,year,tot_n,freq_hot,freq_warm,freq_cold,median_seconds,tot_n_empty,freq_hot_empty,freq_warm_empty,freq_cold_empty,median_seconds_empty,tot_n_onbase,freq_hot_onbase,freq_warm_onbase,freq_cold_onbase,median_seconds_onbase,team_name,game_type,is_qualified
572020,"Paxton, James",2023,727,0.48005502063273725,0.515818431911967,0.0041265474552957355,15.237,473.0,0.733615221987315,0.2642706131078224,0.0021141649048625794,13.962,254.0,0.007874015748031496,0.984251968503937,0.007874015748031496,18.734,BOS,Regular,
606303,"Payamps, Joel",2024,406,0.46551724137931033,0.5320197044334976,0.0024630541871921183,15.152,288.0,0.6076388888888888,0.3923611111111111,0.0,14.557,118.0,0.11864406779661017,0.8728813559322034,0.00847457627118644,16.382,MIL,Regular,
606303,"Payamps, Joel",2022,434,0.055299539170506916,0.9193548387096774,0.02534562211981567,19.612,258.0,0.08527131782945736,0.8992248062015504,0.015503875968992248,18.353,176.0,0.011363636363636364,0.9488636363636364,0.03977272727272727,21.211,MLB,Regular,
606303,"Payamps, Joel",2023,508,0.42913385826771655,0.5688976377952756,0.001968503937007874,15.325,336.0,0.5505952380952381,0.4494047619047619,0.0,14.809,172.0,0.19186046511627908,0.8023255813953488,0.005813953488372093,16.829,MIL,Regular,
606303,"Payamps, Joel",2021,370,0.15405405405405406,0.8027027027027027,0.043243243243243246,19.342,234.0,0.23931623931623933,0.7521367521367521,0.008547008547008548,17.12,136.0,0.007352941176470588,0.8897058823529411,0.10294117647058823,22.718,MLB,Regular,
676840,"Peacock, Matt",2021,610,0.3885245901639344,0.5918032786885246,0.019672131147540985,16.741,349.0,0.6504297994269341,0.34097421203438394,0.008595988538681949,13.762,261.0,0.038314176245210725,0.9272030651340997,0.034482758620689655,20.292,AZ,Regular,
663878,"Pearson, Nate",2024,458,0.17903930131004367,0.8144104803493449,0.006550218340611353,16.9,267.0,0.2696629213483146,0.7303370786516854,0.0,15.968,191.0,0.05235602094240838,0.9319371727748691,0.015706806282722512,18.031,MLB,Regular,
663878,"Pearson, Nate",2023,346,0.18786127167630057,0.8063583815028902,0.005780346820809248,17.283,190.0,0.3368421052631579,0.6631578947368421,0.0,15.632,156.0,0.00641025641025641,0.9807692307692307,0.01282051282051282,19.288,TOR,Regular,
663878,"Pearson, Nate",2020,160,0.03125,0.9125,0.05625,21.107,106.0,0.04716981132075472,0.9245283018867925,0.02830188679245283,19.929,54.0,0.0,0.8888888888888888,0.1111111111111111,24.103,TOR,Regular,
665625,"Peguero, Elvis",2024,338,0.16568047337278108,0.8284023668639053,0.005917159763313609,17.43,182.0,0.23076923076923078,0.7582417582417582,0.01098901098901099,16.849,156.0,0.08974358974358974,0.9102564102564102,0.0,18.328,MIL,Regular,
665625,"Peguero, Elvis",2023,395,0.2582278481012658,0.739240506329114,0.002531645569620253,16.593,237.0,0.34177215189873417,0.6540084388185654,0.004219409282700422,15.955,158.0,0.13291139240506328,0.8670886075949367,0.0,18.178,MIL,Regular,
686752,"Pepiot, Ryan",2024,947,0.337909186906019,0.6610348468848997,0.0010559662090813093,16.277,631.0,0.4896988906497623,0.5103011093502378,0.0,15.053,316.0,0.03481012658227848,0.9620253164556962,0.0031645569620253164,18.426,TB,Regular,
686752,"Pepiot, Ryan",2022,377,0.1962864721485411,0.7851458885941645,0.01856763925729443,18.338,223.0,0.33183856502242154,0.6681614349775785,0.0,16.351,154.0,0.0,0.9545454545454546,0.045454545454545456,21.736,LAD,Regular,
642547,"Peralta, Freddy",2020,270,0.16296296296296298,0.7481481481481481,0.08888888888888889,19.922,141.0,0.3120567375886525,0.6595744680851063,0.028368794326241134,17.005,129.0,0.0,0.8449612403100775,0.15503875968992248,23.543,MIL,Regular,
642547,"Peralta, Freddy",2021,1087,0.03863845446182153,0.8610855565777369,0.10027598896044158,21.336,757.0,0.05416116248348745,0.8811096433289299,0.06472919418758256,19.878,330.0,0.0030303030303030303,0.8151515151515152,0.18181818181818182,24.993,MIL,Regular,
642547,"Peralta, Freddy",2024,1351,0.2820133234641007,0.7165062916358254,0.0014803849000740192,16.653,904.0,0.4081858407079646,0.5896017699115044,0.0022123893805309734,15.512,447.0,0.026845637583892617,0.9731543624161074,0.0,19.027,MIL,Regular,
642547,"Peralta, Freddy",2023,1262,0.3795562599049128,0.6188589540412044,0.001584786053882726,16.028,861.0,0.5447154471544715,0.454123112659698,0.0011614401858304297,14.698,401.0,0.02493765586034913,0.972568578553616,0.0024937655860349127,19.04,MIL,Regular,
642547,"Peralta, Freddy",2022,660,0.10151515151515152,0.843939393939394,0.05454545454545454,18.908,463.0,0.14254859611231102,0.8336933045356372,0.023758099352051837,17.632,197.0,0.005076142131979695,0.868020304568528,0.12690355329949238,23.189,MIL,Regular,
593974,"Peralta, Wandy",2020,213,0.14084507042253522,0.8309859154929577,0.028169014084507043,19.65,129.0,0.20930232558139536,0.7829457364341085,0.007751937984496124,17.652,84.0,0.03571428571428571,0.9047619047619048,0.05952380952380952,21.488,SF,Regular,
593974,"Peralta, Wandy",2022,329,0.24924012158054712,0.6869300911854104,0.06382978723404255,18.382,213.0,0.37089201877934275,0.596244131455399,0.03286384976525822,16.651,116.0,0.02586206896551724,0.853448275862069,0.1206896551724138,21.16,NYY,Regular,
593974,"Peralta, Wandy",2023,373,0.46648793565683644,0.5308310991957105,0.002680965147453083,15.327,270.0,0.6,0.3962962962962963,0.003703703703703704,14.194,103.0,0.11650485436893204,0.883495145631068,0.0,17.612,NYY,Regular,
503449,"Peralta, Wily",2021,729,0.1728395061728395,0.7914951989026063,0.03566529492455418,18.737,483.0,0.2608695652173913,0.7329192546583851,0.006211180124223602,16.774,246.0,0.0,0.9065040650406504,0.09349593495934959,23.535,DET,Regular,
503449,"Peralta, Wily",2022,333,0.07207207207207207,0.8588588588588588,0.06906906906906907,21.216,180.0,0.13333333333333333,0.8388888888888889,0.027777777777777776,18.402,153.0,0.0,0.8823529411764706,0.11764705882352941,24.166,DET,Regular,
